time,장명(배) 유입유량 순시
2020-01-01,366.16041666666666
2020-01-02,372.2659722222222
2020-01-03,389.8097222222222
2020-01-04,380.12638888888887
2020-01-05,377.67291666666665
2020-01-06,368.40833333333336
2020-01-07,361.3909722222222
2020-01-08,378.9888888888889
2020-01-09,372.7944444444444
2020-01-10,366.75347222222223
2020-01-11,384.4402777777778
2020-01-12,393.3666666666667
2020-01-13,360.9659722222222
2020-01-14,348.27430555555554
2020-01-15,375.62708333333336
2020-01-16,392.3277777777778
2020-01-17,379.0520833333333
2020-01-18,443.2548611111111
2020-01-19,381.1069444444444
2020-01-20,365.49305555555554
2020-01-21,403.09375
2020-01-22,396.25208333333336
2020-01-23,428.42083333333335
2020-01-24,356.5513888888889
2020-01-25,357.24930555555557
2020-01-26,475.69791666666663
2020-01-27,414.2680555555556
2020-01-28,378.56388888888887
2020-01-29,384.4534722222222
2020-01-30,377.74930555555557
2020-01-31,398.88055555555553
2020-02-01,377.05347222222224
2020-02-02,424.49652777777777
2020-02-03,381.96736111111113
2020-02-04,369.7125
2020-02-05,376.9736111111111
2020-02-06,398.7048611111111
2020-02-07,380.19166666666666
2020-02-08,409.5756944444444
2020-02-09,404.42083333333335
2020-02-10,381.3333333333333
2020-02-11,383.2576388888889
2020-02-12,391.36597222222224
2020-02-13,371.2652777777778
2020-02-14,404.73055555555555
2020-02-15,399.3229166666667
2020-02-16,382.0805555555556
2020-02-17,391.09583333333336
2020-02-18,388.8923611111111
2020-02-19,379.0375
2020-02-20,390.67291666666665
2020-02-21,396.28819444444446
2020-02-22,397.45694444444445
2020-02-23,401.3375
2020-02-24,405.21805555555557
2020-02-25,354.31041666666664
2020-02-26,391.4166666666667
2020-02-27,389.4270833333333
2020-02-28,371.9763888888889
2020-02-29,389.97569444444446
2020-03-01,422.7111111111111
2020-03-02,381.1097222222222
2020-03-03,397.55694444444447
2020-03-04,371.3354166666667
2020-03-05,409.9451388888889
2020-03-06,382.2680555555556
2020-03-07,390.6486111111111
2020-03-08,394.4222222222222
2020-03-09,402.9548611111111
2020-03-10,377.1590277777778
2020-03-11,377.475
2020-03-12,397.3375
2020-03-13,391.0784722222222
2020-03-14,374.72222222222223
2020-03-15,413.82152777777776
2020-03-16,363.54305555555555
2020-03-17,391.81944444444446
2020-03-18,388.93611111111113
2020-03-19,399.30625
2020-03-20,373.2680555555556
2020-03-21,416.46180555555554
2020-03-22,413.23819444444445
2020-03-23,403.1770833333333
2020-03-24,379.8833333333333
2020-03-25,412.42569444444445
2020-03-26,365.0520833333333
2020-03-27,384.5284722222222
2020-03-28,393.7993055555556
2020-03-29,411.61041666666665
2020-03-30,382.29027777777776
2020-03-31,406.2270833333333
2020-04-01,374.6847222222222
2020-04-02,400.45208333333335
2020-04-03,365.7965277777778
2020-04-04,410.7659722222222
2020-04-05,396.26666666666665
2020-04-06,387.8909722222222
2020-04-07,369.11597222222224
2020-04-08,401.12708333333336
2020-04-09,366.9291666666667
2020-04-10,388.75416666666666
2020-04-11,376.31944444444446
2020-04-12,412.53263888888887
2020-04-13,348.85555555555555
2020-04-14,402.85
2020-04-15,406.6222222222222
2020-04-16,380.5513888888889
2020-04-17,356.18194444444447
2020-04-18,436.49652777777777
2020-04-19,348.43541666666664
2020-04-20,412.30625
2020-04-21,360.2027777777778
2020-04-22,375.5736111111111
2020-04-23,384.1118055555556
2020-04-24,381.56666666666666
2020-04-25,365.3513888888889
2020-04-26,427.0104166666667
2020-04-27,395.8888888888889
2020-04-28,395.2715277777778
2020-04-29,377.0805555555556
2020-04-30,441.81458333333336
2020-05-01,422.78819444444446
2020-05-02,421.53472222222223
2020-05-03,392.02986111111113
2020-05-04,415.53055555555557
2020-05-05,394.8666666666667
2020-05-06,405.92847222222224
2020-05-07,382.43402777777777
2020-05-08,414.09375
2020-05-09,387.9888888888889
2020-05-10,413.3520833333333
2020-05-11,366.9861111111111
2020-05-12,415.19930555555555
2020-05-13,365.7736111111111
2020-05-14,396.27708333333334
2020-05-15,376.3361111111111
2020-05-16,422.8465277777778
2020-05-17,427.2388888888889
2020-05-18,410.8618055555556
2020-05-19,325.7673611111112
2020-05-20,384.275
2020-05-21,416.87916666666666
2020-05-22,431.0395833333333
2020-05-23,425.40763888888887
2020-05-24,398.4201388888889
2020-05-25,390.03055555555557
2020-05-26,420.4159722222222
2020-05-27,353.4798611111111
2020-05-28,421.06875
2020-05-29,399.1777777777778
2020-05-30,422.7236111111111
2020-05-31,415.87708333333336
2020-06-01,437.90972222222223
2020-06-02,379.71666666666664
2020-06-03,418.2909722222222
2020-06-04,434.5201388888889
2020-06-05,451.0465277777778
2020-06-06,428.7125
2020-06-07,466.9638888888889
2020-06-08,401.79375
2020-06-09,439.20625
2020-06-10,430.04305555555555
2020-06-11,404.0159722222222
2020-06-12,406.1451388888889
2020-06-13,439.8513888888889
2020-06-14,407.69166666666666
2020-06-15,427.97569444444446
2020-06-16,382.75694444444446
2020-06-17,436.6972222222222
2020-06-18,364.90555555555557
2020-06-19,402.7340277777778
2020-06-20,426.44305555555553
2020-06-21,431.3513888888889
2020-06-22,413.8298611111111
2020-06-23,428.91041666666666
2020-06-24,379.53125
2020-06-25,417.6972222222222
2020-06-26,396.12569444444443
2020-06-27,460.22083333333336
2020-06-28,429.16319444444446
2020-06-29,399.0777777777778
2020-06-30,429.06597222222223
2020-07-01,419.6659722222222
2020-07-02,399.81319444444443
2020-07-03,452.27569444444447
2020-07-04,413.2625
2020-07-05,446.97291666666666
2020-07-06,427.90833333333336
2020-07-07,441.6097222222222
